row_id,CV_fold
11330,0
19310,0
4087,0
21323,0
13152,0
1541,0
24881,0
29655,0
22244,0
17714,0
2126,0
18396,0
17094,0
7646,0
14732,0
14378,0
17814,0
4076,0
6476,0
20198,0
8368,0
27837,0
12698,0
24225,0
13367,0
23460,0
16993,0
4710,0
17507,0
19536,0
12040,0
16829,0
3834,0
9544,0
2532,0
4782,0
7429,0
28804,0
14617,0
3443,0
11115,0
8796,0
24804,0
9299,0
16914,0
16196,0
3305,0
10849,0
12798,0
23047,0
28178,0
19693,0
5107,0
21021,0
3769,0
3922,0
14122,0
26068,0
29033,0
3079,0
29500,0
29636,0
27377,0
12459,0
26279,0
29511,0
17826,0
17536,0
5060,0
18169,0
28036,0
11713,0
17825,0
8922,0
12080,0
7186,0
10161,0
3462,0
13834,0
7725,0
19680,0
21037,0
5312,0
21966,0
27523,0
5510,0
11870,0
16949,0
28437,0
12981,0
20330,0
5512,0
20734,0
29986,0
17678,0
11764,0
9201,0
15157,0
18065,0
23646,0
14891,0
1131,0
21223,0
5053,0
14657,0
5244,0
25223,0
11882,0
2389,0
25997,0
13269,0
4550,0
11520,0
7546,0
19230,0
24946,0
5265,0
21140,0
25758,0
24084,0
13364,0
21215,0
28391,0
22943,0
4206,0
15205,0
8507,0
3288,0
4633,0
14775,0
4881,0
2789,0
3540,0
20791,0
7367,0
20297,0
22155,0
2019,0
18395,0
10252,0
23033,0
10903,0
27279,0
15118,0
6275,0
20889,0
11987,0
12863,0
10653,0
23584,0
18070,0
26795,0
16106,0
29408,0
1736,0
16045,0
2608,0
24724,0
8336,0
18417,0
2290,0
12475,0
24673,0
1833,0
12690,0
11982,0
274,0
2058,0
27321,0
24170,0
3189,0
16942,0
17550,0
4332,0
16804,0
15808,0
14367,0
4352,0
10820,0
13710,0
10049,0
13709,0
1436,0
23479,0
9812,0
28375,0
16816,0
21582,0
14754,0
27779,0
26229,0
21844,0
9512,0
1789,0
6052,0
2,0
13268,0
6551,0
9546,0
24811,0
11667,0
11655,0
5596,0
21934,0
10288,0
17286,0
29136,0
23297,0
26857,0
2456,0
5779,0
21842,0
6615,0
28451,0
10284,0
17498,0
11073,0
12392,0
6837,0
4174,0
16318,0
23586,0
24562,0
27280,0
21953,0
14510,0
12467,0
2012,0
27899,0
14358,0
16419,0
11380,0
11020,0
10966,0
18771,0
27571,0
14806,0
4446,0
752,0
13077,0
9451,0
11949,0
18704,0
13564,0
459,0
16315,0
21026,0
18420,0
22339,0
8660,0
20218,0
5227,0
4003,0
29694,0
27551,0
16715,0
29339,0
27485,0
6688,0
11063,0
12714,0
27315,0
21236,0
15999,0
25787,0
24054,0
25833,0
15269,0
21689,0
22051,0
16728,0
25597,0
20536,0
14232,0
8041,0
27944,0
4937,0
11880,0
21141,0
19022,0
8830,0
23737,0
11751,0
13584,0
18226,0
15034,0
20045,0
13254,0
18985,0
7307,0
12278,0
29687,0
29925,0
19449,0
1646,0
21827,0
2555,0
12264,0
22384,0
18080,0
3446,0
1456,0
14322,0
2047,0
5435,0
3263,0
3182,0
13791,0
27305,0
1398,0
22727,0
6677,0
13365,0
22151,0
15071,0
6394,0
9741,0
22421,0
15758,0
24817,0
8067,0
13597,0
16206,0
14925,0
3714,0
14540,0
17723,0
24476,0
12220,0
24181,0
20124,0
23181,0
29735,0
6567,0
27119,0
28858,0
9690,0
29180,0
8050,0
9173,0
14933,0
27767,0
25272,0
8209,0
21084,0
26977,0
12116,0
11275,0
22215,0
22672,0
22870,0
8280,0
9457,0
16534,0
23204,0
23306,0
5922,0
13898,0
25320,0
17099,0
8906,0
8191,0
22146,0
2199,0
9630,0
8381,0
27408,0
5752,0
10790,0
25063,0
1026,0
12677,0
8853,0
15828,0
18126,0
3704,0
3508,0
15272,0
21413,0
2916,0
10486,0
3567,0
26914,0
19833,0
27099,0
2982,0
24504,0
17432,0
22946,0
27599,0
498,0
23860,0
12715,0
21908,0
28949,0
29930,0
15474,0
7431,0
20098,0
17491,0
19368,0
9692,0
1883,0
21497,0
10905,0
23814,0
15434,0
12509,0
4212,0
28346,0
14938,0
12689,0
7887,0
19592,0
21412,0
22891,0
13653,0
17002,0
816,0
23211,0
7435,0
24799,0
29883,0
27863,0
27940,0
16615,0
21954,0
12171,0
18714,0
12614,0
26104,0
12787,0
14002,0
15271,0
3137,0
1477,0
26322,0
6756,0
16881,0
793,0
1620,0
29643,0
23625,0
13554,0
24993,0
26230,0
28066,0
7033,0
1668,0
13951,0
16998,0
19937,0
28246,0
14166,0
23085,0
5632,0
22884,0
14268,0
13253,0
12781,0
3782,0
15625,0
28292,0
25235,0
6137,0
11587,0
21538,0
2029,0
27242,0
6768,0
13520,0
20997,0
21193,0
4315,0
19934,0
19140,0
27731,0
12825,0
28084,0
7717,0
2998,0
10374,0
7554,0
11689,0
6993,0
2000,0
2730,0
21138,0
13738,0
4721,0
4260,0
18481,0
8885,0
269,0
3820,0
21179,0
1330,0
14465,0
21376,0
3604,0
25999,0
22,0
26955,0
29809,0
26745,0
622,0
21565,0
5991,0
2181,0
12999,0
5774,0
18588,0
8074,0
23787,0
2963,0
14557,0
15231,0
17069,0
15817,0
3249,0
29908,0
4258,0
4268,0
3421,0
2224,0
14090,0
10914,0
23525,0
16438,0
25377,0
29682,0
17218,0
13448,0
17842,0
15025,0
6695,0
11546,0
7386,0
25067,0
17384,0
11686,0
10650,0
1124,0
29572,0
13921,0
24689,0
11030,0
25770,0
10981,0
18499,0
13482,0
26573,0
13640,0
17689,0
12130,0
1940,0
3215,0
16546,0
26555,0
24435,0
5448,0
3546,0
7563,0
13728,0
8644,0
1236,0
25451,0
17771,0
18913,0
7253,0
16369,0
25266,0
10392,0
13882,0
2946,0
18903,0
26926,0
15302,0
2277,0
12840,0
27587,0
3426,0
28395,0
7844,0
17905,0
20935,0
20526,0
28415,0
26385,0
20446,0
2525,0
323,0
15298,0
28830,0
3434,0
20942,0
21758,0
7789,0
26117,0
26290,0
24279,0
1968,0
9223,0
23429,0
26649,0
27653,0
19988,0
1027,0
2917,0
20021,0
12388,0
19178,0
4912,0
3139,0
9613,0
15007,0
14996,0
21274,0
11026,0
24438,0
14738,0
19431,0
15023,0
28745,0
28833,0
4294,0
6644,0
27562,0
18317,0
17368,0
11307,0
13445,0
13549,0
6950,0
12413,0
27252,0
15723,0
12747,0
12670,0
2846,0
20213,0
25195,0
1273,0
2679,0
8943,0
11355,0
7873,0
7428,0
8300,0
6868,0
3163,0
4481,0
16159,0
17150,0
5071,0
16361,0
23675,0
5791,0
27067,0
14693,0
24894,0
7442,0
8709,0
557,0
29966,0
22654,0
8832,0
6774,0
12911,0
29553,0
12856,0
18067,0
12172,0
4748,0
10807,0
22915,0
8174,0
26705,0
27128,0
23883,0
17262,0
2576,0
