row_id,Group,default,Tuned_probability,PAY_0,PAY_2,PAY_6,LIMIT_BAL,BILL_AMT1,PAY_AMT1,BILL_AMT6,PAY_AMT6,Utilization_1,Payment_share_1,AGE,SEX,EDUCATION,MARRIAGE
982,FN,1,0.10120990316891766,-2,-2,-2,500000,45106,81690,27911,17397,0.090212,1.8110672637786547,36,1,1,2
10670,FN,1,0.12159191040190512,0,0,0,410000,28921,5422,18777,4040,0.0705390243902439,0.18747622834618444,48,1,2,2
16276,FN,1,0.123891674277635,0,0,0,300000,34515,30000,12565,5000,0.11505,0.8691873098652759,31,2,1,2
970,FN,1,0.12499853986536164,-1,0,0,300000,11973,20979,10492,2709,0.03991,1.752192432974192,42,1,1,1
28993,FN,1,0.12705207954819664,0,0,0,480000,98569,10620,82160,30042,0.20535208333333332,0.10774178494252756,39,2,1,1
28747,FP,0,0.9414554611970086,3,2,7,50000,2400,0,2400,0,0.048,0.0,28,2,2,1
9671,FP,0,0.931438888676172,2,2,7,170000,2400,0,2400,0,0.01411764705882353,0.0,48,1,1,2
1521,FP,0,0.9202230661084144,3,3,2,60000,9744,1500,10055,0,0.1624,0.1539408866995074,40,1,2,2
26712,FP,0,0.9171974659163369,2,2,2,30000,14598,2000,16302,2000,0.4866,0.13700506918755995,26,1,3,2
11993,FP,0,0.9154841482531387,2,0,2,100000,29770,1825,33860,0,0.2977,0.06130332549546523,28,2,3,1
